Timestamp,[Q.1 / 10] 現在のご年齢を教えて下さい,[Q.2 / 10] 現在のご職業はなんですか？,[Q.3 / 10] 仕事でコーディングの業務経験（※）はありますか？「はい」の場合、何年の経験がありますか？,[Q.4 / 10] プログラミング技術を学ぶとき、教材は英語ではなく日本語で作られていることを望みますか？,[Q.5 / 10] プログラミング学習の教材として「本」は有効だと思いますか？,[Q.6 / 10] プログラミング学習の教材として「ネット上のテキストコンテンツ」は有効だと思いますか？,[Q.7 / 10] プログラミング学習の教材として「動画」は有効だと思いますか？,[Q.8 / 10] プログラミング学習の教材として「コンソール＋テキストコンテンツ形式」は有効だと思いますか？,[Q.9 / 10] プログラミング学習の教材として「講義形式（ライブ授業）」は有効だと思いますか？,[Q.10 / 10] 5～9の質問について、なぜそう思われるのか、ご意見をお聞かせください,book_strength,text_strength,video_strength,console_strength,live_strength,book_weakness,text_weakness,video_weakness,console_weakness,live_weakness
4/13/2022 10:50:48,31 - 35歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,強く同意する（絶対に日本語がいい）,強く同意する,やや同意する,やや同意する,やや同意する,あまり同意しない,自分のペースで学習できる教材が良いため、ライブ形式は目的に合わないように考えています,operability,operability,operability,operability,,,,,,operability
4/13/2022 15:07:41,21 - 25歳,SE or ブリッジSE,ない,どちらとも言えない（日本語でも英語でも気にしない）,あまり同意しない,やや同意する,どちらとも言えない,やや同意する,あまり同意しない,本は読んだだけで手を動かさなかった経験があるのであまり有効だとは思いません。講義形式もしかり。聞くだけで分かった気になっていると思います。動画に関しては、ある程度理解が進んでから見た経験しかないのですが、初心者には不適だが知見がある人なら重宝するツールだと思います。コンソール＋テキストコンテンツ形式はProgate使用の経験がありますが他と違うのは少なくとも手を動かすので他よりは理解が進むかな…と思います。,,,others,"easy-to-understand, activating",,activating,,easy-to-understand,,activating
4/13/2022 16:27:19,21 - 25歳,その他のエンジニア職種,ない,やや同意する（できれば日本語がいい）,やや同意する,どちらとも言えない,強く同意する,どちらとも言えない,どちらとも言えない,"　
",,,,,,,,,,
4/13/2022 18:28:57,21 - 25歳,学生,1年以上3年未満,やや同意する（できれば日本語がいい）,強く同意する,強く同意する,どちらとも言えない,どちらとも言えない,まったく同意しない,基本的に、公式でのテキストでの情報が正しいことが多いため、テキストで学べる本や、その他ブログで肩慣らしをして、公式ドキュメントに移行するのが良いと思う。,quality,quality,,,,,,,,
4/13/2022 22:32:04,36 - 40歳,CTO or VPoE,5年以上,強く同意する（絶対に日本語がいい）,強く同意する,強く同意する,どちらとも言えない,強く同意する,やや同意する,"どれにでも当てはまりますが
実際にコードを書かないと意味がないと思われます。","comvination, activating","comvination, activating",,"comvination, activating","comvination, activating",,,,,
4/14/2022 6:26:50,36 - 40歳,経営者,1年以上3年未満,やや同意する（できれば日本語がいい）,あまり同意しない,やや同意する,強く同意する,やや同意する,やや同意する,"自分自身の学習経験から、プログラミングを楽しみながら学べたのが動画学習でした。
本はエラーで躓きやすい。
ネット上は玉石混交。
コンソール＋テキストは環境構築が補完できない。
講義型は環境に左右される。",,,activating,,,easy-to-understand,quality,,practicality,others
4/14/2022 8:20:38,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,やや同意する（できれば日本語がいい）,やや同意する,やや同意する,やや同意する,どちらとも言えない,強く同意する,"Q5
紙の本は実際に手を動かして書き込みを行ったり付箋をつけることができるので有効だと思います。ただ、キーボードで打ち込んでハンズオン形式でやるには大きな机などの準備が必要なので人によってはちょっと難しいかもしれません。また、自宅ではなくカフェなので勉強する際にも荷物が増えて厄介です。
Kindle等電子書籍であればインターネットさえあればどこでもアクセスし確認することができるのでとても便利です。
大抵の本はその議題について体系的に学べるようになっているので基礎知識を学ぶ上では大いに有効だと思います。

Q6
QiitaやZennなどのブログサイトでも、Stackoverflow、Teratailなどの質問サイト、公式サイトのチュートリアルはどれか一つでもなくなってしまうと困る方は多いのではないでしょうか。ただし、特に個人ブログは時に初心者にはちょっと優しくないコンテンツが含まれます。なにかしらの基礎知識が必要であってもそのことについての解説がなく初めて聞く用語等がたくさん出てきてパニックになってしまうケースもあります。そういった意味で言うと公式のチュートリアルは非常に有効だと思います。1から10まで丁寧に解説されているからです。

Q.7
これは人によるかもしれません。私は抵抗がないのですが、知り合いの方はちょっと抵抗を感じているようです。
あと、ハンズオン形式の動画では画面が２つあると嬉しいです。その方が効率的に学ぶことができるからです。ユーザーによってはデスク環境や資金等(特に学生さんなど)で２つの画面を用意できない方いらっしゃるかもしれません。
動画教材に対する抵抗もなく、デスク環境が整っていれば動画でのプログラミング学習は非常に有効です。本やサイトと違って実際にリアルタイムでどのようにタイピングを行なっているか、処理を実行しているかを確認することができるからです。ライブでない限り、よくわからなかったところは停止したり、何度も見返すことができます。

Q.8
その議題に関する基礎知識を入門として学ぶには大いに有効です。ただ、ひとたび基礎を身につけたらローカルの自分の環境、お気に入りのエディタで行い実際に自分の手を動かして覚えるのが良いかもしれません。

Q.9
これはオフライン、オンラインに限らず最も有効な学習方法だと思います。
動画教材だと自分一人で学習を進めるためモチベーションが上がらないときはついついサボってしまいがちです。ただ、この講義であれば他の受講者と一緒に講義に参加する必要があります。「講義に参加している」という意識があるだけで動画教材で学ぶときときとは異なるモチベーションを保つことができます。疑問点があれば対話形式で質問することもできます。これも有効となり得ます。口頭、テキストに関わらず対話形式の質問は記憶に残ります。きっとググって調べるよりも記憶に残ります。","operability, activating, quality",easy-to-undertsand,"operability, easy-to-understand",easy-to-understand,"activating, asking",operability,easy-to-undertsand,operability,practicality,
4/15/2022 19:08:43,16 - 20歳,学生,ない,やや同意する（できれば日本語がいい）,やや同意する,やや同意する,どちらとも言えない,強く同意する,どちらとも言えない,アウトプットのしやすさが習得に関わってくると思うから,,,,activating,,,,,,
4/15/2022 20:09:17,21 - 25歳,その他,ない,やや同意する（できれば日本語がいい）,あまり同意しない,やや同意する,強く同意する,やや同意する,どちらとも言えない,実際に手を動かしながら作る事でプログラミング能力が身につくため。,,,,activating,,,,,,
4/17/2022 9:50:26,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,やや同意する（できれば日本語がいい）,やや同意する,強く同意する,強く同意する,どちらとも言えない,どちらとも言えない,さっと情報を入手したいから,,operability,operability,,,,,,,
